time,magnitude,longitude,latitude,depth_km,utmx,utmy
27/3/2020 11:45,,101.148288,-1.609065,1.99,739013.3352,9822023.635
27/3/2020 18:19,,101.140576,-1.642879,0.626,738150.9478,9818284.421
27/3/2020 18:43,,101.145512,-1.641358,0.986,738700.5436,9818452.068
28/3/2020 6:01,,101.18424,-1.65353,2.34512,743009.8602,9817101.034
28/3/2020 6:57,,101.19227,-1.60924,3.78837,743909.0229,9821999.068
28/3/2020 8:52,,101.15744,-1.64489,1.27012,740027.8091,9818059.966
28/3/2020 10:51,,101.14766,-1.64078,-0.07454,738939.7021,9818515.743
28/3/2020 16:02,,101.143981,-1.642749,0.496,738529.966,9818298.394
28/3/2020 16:04,,101.146478,-1.639977,0.869,738808.2311,9818604.704
28/3/2020 16:06,,101.144042,-1.642772,0.424,738536.7531,9818295.843
28/3/2020 16:07,,101.142282,-1.643103,0.984,738340.8121,9818259.441
28/3/2020 16:15,,101.137288,-1.639573,-0.845,737785.3597,9818650.484
28/3/2020 18:02,,101.15052,-1.637592,1.166,739258.4227,9818868.024
28/3/2020 18:06,,101.145132,-1.637971,0.42,738658.6481,9818826.746
28/3/2020 18:08,,101.13937,-1.63063,-0.0454,738018.1566,9819639.408
28/3/2020 18:11,,101.1481,-1.626169,0.947,738990.4057,9820131.8
28/3/2020 18:12,,101.14125,-1.63005,0.57972,738227.4843,9819703.338
28/3/2020 21:45,,101.140886,-1.636588,0.328,738186.1975,9818980.223
29/3/2020 1:43,,101.148616,-1.642622,1.009,739045.8938,9818311.887
29/3/2020 2:13,,101.149559,-1.642688,0.901,739150.8496,9818304.474
29/3/2020 2:15,,101.154125,-1.633636,0.192,739660.1606,9819305.164
29/3/2020 2:16,,101.147665,-1.641644,0.992,738940.156,9818420.177
29/3/2020 2:17,,101.134713,-1.620943,0.25,737500.9283,9820711.419
29/3/2020 2:20,,101.143971,-1.643934,0.749,738528.7122,9818167.324
29/3/2020 4:47,,101.14827,-1.640882,1.165,739007.588,9818504.388
29/3/2020 5:01,,101.12636,-1.63096,8.04978,736570.0047,9819604.442
29/3/2020 13:08,,101.133925,-1.642881,0.094,737410.6424,9818284.992
29/3/2020 13:20,,101.145662,-1.637536,1.196,738717.693,9818874.797
